carat,cut,color,clarity,depth,table
0.3,Ideal,F,VS2,61.6,56.0
1.7,Good,H,SI1,63.9,56.0
0.5,Ideal,D,VS2,61.2,55.0
0.97,Very Good,G,VVS1,61.9,54.0
0.33,Ideal,I,SI1,61.5,57.0
0.6,Good,G,SI1,65.3,56.0
0.67,Premium,G,SI1,60.5,60.0
0.8,Premium,G,IF,62.6,58.0
0.5,Ideal,D,VS2,62.6,56.0
0.52,Ideal,F,SI1,62.0,53.0
2.01,Very Good,J,SI2,60.6,60.0
0.42,Very Good,D,VS2,63.2,58.0
0.5,Very Good,D,SI1,60.7,59.0
1.01,Premium,G,VS1,60.9,58.0
0.32,Ideal,D,VVS2,62.1,54.0
0.3,Ideal,D,VS2,62.8,57.0
1.04,Ideal,G,VS2,59.4,58.0
1.35,Ideal,D,VS2,61.3,57.0
2.13,Premium,G,SI2,60.7,60.0
1.01,Premium,D,VVS1,59.3,59.0
0.9,Premium,G,SI2,61.1,58.0
0.3,Very Good,E,VVS1,62.6,56.0
0.48,Good,G,SI1,64.7,58.0
0.7,Very Good,J,SI1,58.4,62.0
0.71,Fair,G,VS1,65.5,55.0
1.0,Premium,E,SI1,59.7,57.0
1.51,Premium,I,SI1,61.7,60.0
2.05,Very Good,H,VS2,61.8,60.0
0.35,Ideal,G,VS1,61.9,55.0
0.63,Fair,H,SI2,64.7,61.0
0.41,Good,I,SI1,63.8,57.0
0.28,Very Good,H,VS1,61.9,56.0
1.14,Ideal,G,VS1,62.3,56.0
1.43,Ideal,E,VVS2,62.4,57.0
0.71,Premium,F,VS2,59.3,56.0
0.74,Very Good,F,SI2,63.1,55.0
1.01,Premium,D,SI1,62.2,53.0
0.96,Premium,H,SI2,59.4,56.0
0.26,Very Good,F,VVS1,58.7,58.0
0.32,Good,D,I1,64.0,54.0
1.03,Premium,G,VS2,63.0,59.0
1.52,Ideal,E,SI2,60.1,57.0
0.59,Ideal,F,SI1,62.3,54.0
1.21,Ideal,G,SI2,62.1,57.0
0.53,Ideal,D,SI1,61.6,56.0
0.3,Very Good,G,VVS1,63.2,58.0
1.51,Premium,I,SI2,59.7,59.0
0.33,Very Good,I,VVS2,61.6,57.0
0.9,Very Good,E,VS2,63.0,57.0
0.35,Premium,F,VS2,61.5,59.0
0.53,Premium,G,SI2,60.8,58.0
1.51,Fair,J,SI1,63.4,60.0
1.09,Ideal,H,SI1,61.1,57.0
1.58,Very Good,I,VS1,61.8,57.0
0.41,Ideal,I,VVS2,62.3,56.0
1.43,Ideal,H,VVS2,61.6,54.0
0.92,Premium,F,SI2,59.3,61.0
0.52,Ideal,H,SI2,60.5,56.0
0.51,Ideal,H,VS2,61.5,55.0
0.72,Premium,I,VS2,60.9,60.0
2.01,Premium,H,SI2,62.3,58.0
0.51,Good,G,VVS1,63.2,58.0
0.42,Very Good,E,SI1,63.4,56.0
0.55,Premium,F,VS2,62.5,56.0
1.2,Ideal,H,SI1,62.0,58.0
0.3,Ideal,H,VS1,62.1,56.0
0.5,Fair,G,VS1,65.9,57.0
1.02,Premium,F,SI2,62.5,60.0
1.29,Very Good,H,VS1,60.8,58.0
1.01,Fair,F,SI2,65.2,57.0
0.51,Very Good,E,SI2,62.0,57.0
0.56,Very Good,G,VVS2,62.1,55.6
0.54,Ideal,D,VS2,61.1,56.0
0.3,Premium,G,SI2,62.5,59.0
0.41,Premium,G,VS2,62.4,58.0
0.7,Good,F,VS2,59.1,61.0
1.04,Premium,E,SI2,62.4,57.0
0.73,Good,F,VVS2,59.5,61.0
0.42,Very Good,D,VS1,60.6,58.0
0.7,Good,H,I1,56.5,57.0
2.0,Good,I,SI1,63.9,57.0
0.43,Premium,D,VVS1,59.6,58.0
0.51,Very Good,D,SI1,63.2,55.0
0.7,Ideal,I,VVS1,61.8,56.0
0.33,Ideal,G,VS2,61.2,55.0
2.15,Premium,H,SI2,62.8,58.0
0.39,Very Good,J,VS1,61.0,62.0
1.1,Premium,G,VS2,60.5,60.0
0.32,Ideal,F,VVS1,61.8,56.0
0.33,Ideal,D,VS2,62.8,54.0
1.0,Good,F,VS2,64.0,59.0
1.03,Good,F,SI2,59.0,59.0
1.28,Premium,J,SI2,62.3,58.0
0.51,Very Good,G,VS2,62.7,58.0
0.92,Premium,F,SI1,62.1,60.0
0.31,Good,J,VS1,61.9,61.0
0.41,Ideal,F,VVS1,62.0,55.0
0.74,Very Good,D,SI1,63.9,57.0
1.5,Ideal,H,SI1,61.6,57.0
0.7,Very Good,H,VS2,62.9,57.0
0.54,Ideal,E,SI2,60.7,56.0
0.4,Ideal,G,VVS1,61.5,59.0
0.72,Ideal,G,VS2,61.5,55.0
0.51,Very Good,G,SI1,59.7,58.0
0.7,Very Good,I,VS2,62.1,56.0
0.61,Very Good,H,VVS2,60.5,57.0
0.9,Ideal,F,SI1,62.0,57.0
0.23,Very Good,E,VS2,60.8,58.0
0.51,Ideal,E,SI1,61.4,56.0
0.31,Premium,H,SI1,62.4,57.0
0.32,Ideal,G,VS1,62.1,55.0
0.34,Premium,F,VS2,60.7,60.0
1.01,Very Good,F,VVS1,62.9,57.0
0.3,Very Good,F,VVS2,62.5,56.0
1.52,Ideal,G,VS2,61.1,57.0
0.7,Good,D,VS2,58.0,62.0
1.0,Very Good,G,SI1,59.6,60.0
0.32,Ideal,D,VS2,61.7,57.0
0.53,Premium,H,VS2,59.1,59.0
1.32,Premium,G,VS1,60.6,57.0
0.51,Premium,F,SI1,59.4,61.0
1.02,Ideal,F,SI2,61.6,56.0
0.29,Ideal,D,VS1,62.9,55.0
1.03,Very Good,D,SI2,63.7,56.0
1.0,Premium,F,VS2,62.6,60.0
0.52,Premium,E,VS2,60.3,60.0
0.3,Ideal,D,VS2,62.0,55.0
0.39,Premium,J,VS2,61.3,60.0
0.9,Very Good,E,I1,62.4,63.0
0.31,Premium,I,SI1,62.3,59.0
0.31,Ideal,D,VS2,60.2,56.0
0.37,Premium,E,VVS2,60.9,59.0
0.5,Fair,G,VS1,66.8,56.0
1.12,Premium,J,VS2,58.6,58.0
0.91,Very Good,E,SI1,58.8,59.0
0.76,Premium,E,SI1,61.1,58.0
0.63,Very Good,G,VVS2,62.3,55.0
1.1,Very Good,F,VS2,63.5,55.0
0.9,Ideal,G,SI1,61.6,58.0
0.36,Ideal,F,VS1,61.3,54.0
0.7,Good,F,VVS2,62.5,58.0
0.33,Premium,H,VS2,62.3,58.0
1.1,Ideal,H,SI2,62.6,56.0
0.41,Ideal,H,VS1,61.1,56.0
0.4,Ideal,F,VVS1,62.3,54.0
0.3,Good,E,VVS2,63.0,58.0
0.3,Ideal,I,VS2,60.3,57.0
0.38,Ideal,F,VVS1,61.5,56.0
1.0,Fair,F,VS2,64.9,56.0
0.74,Ideal,F,SI2,60.3,58.0
0.31,Premium,G,VS1,62.4,58.0
0.7,Premium,D,SI2,62.1,60.0
1.0,Good,G,SI1,63.9,58.0
0.4,Premium,G,VS1,60.7,58.0
1.07,Ideal,H,SI2,59.2,57.0
0.28,Good,E,IF,64.6,58.0
1.3,Ideal,I,SI1,62.3,58.0
1.1,Ideal,E,SI2,59.4,54.0
0.54,Ideal,D,SI1,62.6,55.0
1.22,Ideal,E,VS1,61.8,56.0
1.5,Fair,J,VS2,64.5,59.0
0.42,Ideal,D,SI1,61.9,55.0
0.71,Ideal,H,IF,63.0,57.0
0.31,Ideal,D,VVS2,61.2,55.0
0.34,Premium,H,VS2,60.2,60.0
0.4,Very Good,J,VS2,62.9,57.0
0.3,Ideal,F,VS2,61.9,55.0
1.01,Premium,H,IF,62.1,59.0
0.52,Premium,D,SI1,61.5,55.0
0.31,Ideal,F,VS2,62.2,56.0
1.02,Premium,G,VVS1,63.0,58.0
1.27,Ideal,H,SI1,61.5,55.0
1.36,Ideal,I,SI1,62.0,56.0
2.14,Ideal,E,SI2,62.7,55.0
0.31,Ideal,G,VVS2,61.7,57.0
1.03,Ideal,E,SI1,62.0,53.0
0.3,Very Good,H,VVS1,63.0,54.0
0.32,Ideal,J,IF,62.2,56.0
0.34,Ideal,F,VVS1,61.7,55.0
0.53,Ideal,I,VS2,62.0,55.0
2.07,Ideal,F,SI2,60.5,57.0
0.53,Ideal,D,SI1,61.2,57.0
0.71,Very Good,E,VS1,63.4,58.0
1.0,Ideal,I,SI1,62.8,56.0
1.5,Fair,E,SI2,65.8,57.0
1.08,Ideal,E,VVS1,61.5,58.0
1.01,Ideal,F,VS2,62.1,57.0
1.89,Ideal,H,VS1,61.6,56.0
0.31,Good,H,VVS2,63.7,55.0
1.6,Ideal,F,VS1,62.0,56.0
0.38,Ideal,F,VVS1,61.0,57.0
1.06,Ideal,I,VS1,62.0,55.0
0.62,Very Good,D,VS1,63.4,55.0
0.4,Ideal,F,VVS2,61.7,56.0
0.5,Very Good,F,VS2,63.0,57.0
0.32,Good,H,VVS1,64.3,58.0
1.01,Very Good,I,SI1,60.9,59.0
1.59,Premium,J,VS2,62.6,59.0
1.34,Premium,G,SI2,61.7,58.0
1.03,Ideal,D,IF,62.0,56.0
1.01,Very Good,F,VS2,62.7,56.0
0.54,Ideal,D,VS1,62.1,57.0
0.75,Ideal,D,SI2,61.5,55.0
0.4,Premium,F,SI2,62.6,60.0
1.71,Premium,H,VS2,62.5,58.0
0.56,Ideal,H,VVS1,60.0,56.0
0.92,Premium,F,SI1,62.6,59.0
0.51,Premium,F,VVS1,62.6,57.0
1.02,Very Good,E,SI1,60.5,63.0
0.8,Good,H,VS2,63.4,60.0
0.32,Ideal,H,VVS1,61.6,56.0
1.21,Premium,G,VS1,62.7,58.0
0.32,Very Good,I,VS2,61.1,57.0
1.5,Ideal,I,VVS2,60.8,57.0
0.31,Ideal,H,VS2,62.2,55.0
0.34,Ideal,F,VVS1,61.6,56.0
0.34,Ideal,H,VS1,62.7,57.0
1.65,Premium,G,SI2,62.2,58.0
0.3,Ideal,F,VVS1,61.2,55.0
1.29,Good,F,SI1,63.8,60.0
2.48,Very Good,H,SI1,63.3,56.0
0.43,Premium,G,VS2,60.8,59.0
0.71,Good,I,VS2,64.3,63.0
0.73,Very Good,D,SI1,62.2,57.0
0.77,Very Good,J,VS2,62.1,62.0
1.0,Premium,H,VS1,60.7,59.0
1.52,Premium,I,SI1,60.5,60.0
0.3,Premium,D,VS2,60.6,58.0
1.24,Ideal,F,VS1,60.9,54.0
0.33,Ideal,G,VS1,62.4,56.0
1.01,Ideal,G,SI1,61.1,58.0
0.42,Ideal,D,SI1,61.8,57.0
0.31,Ideal,G,VS2,62.2,54.0
0.9,Very Good,F,SI2,61.4,57.0
0.83,Very Good,H,VS2,59.4,59.0
0.7,Good,D,SI2,58.3,60.0
0.91,Very Good,J,VS2,61.6,59.0
1.73,Very Good,I,VS1,62.2,59.0
0.28,Ideal,D,VS2,62.4,57.0
0.74,Ideal,E,VS2,61.7,56.0
0.28,Ideal,E,VVS2,60.3,57.0
1.52,Very Good,I,SI1,62.7,59.0
0.31,Very Good,F,VS2,62.9,56.0
1.24,Premium,G,VVS1,60.4,59.0
0.38,Ideal,F,SI1,62.2,54.0
0.27,Ideal,G,VVS1,62.5,56.0
1.01,Premium,F,VS1,61.7,58.0
1.01,Very Good,E,VS1,62.0,57.0
0.9,Good,H,SI2,63.5,58.0
0.54,Premium,H,VS1,62.6,59.0
0.53,Ideal,D,VVS1,62.0,57.0
1.0,Ideal,E,VS2,61.7,54.0
0.31,Ideal,D,SI1,60.8,56.0
0.3,Very Good,G,VS1,61.7,57.0
0.33,Premium,F,VS2,62.1,59.0
1.02,Ideal,I,SI1,61.9,55.0
1.03,Very Good,G,VS2,61.0,58.0
0.59,Premium,H,VVS2,62.3,55.0
0.31,Premium,H,VVS2,62.3,60.0
0.4,Premium,E,VS1,60.4,59.0
0.78,Ideal,D,VS2,61.9,56.0
1.54,Ideal,G,SI2,61.9,55.0
0.79,Very Good,F,SI1,61.5,58.0
0.36,Ideal,G,IF,61.5,56.0
0.71,Good,J,VS1,63.3,55.0
0.4,Ideal,F,VVS1,61.7,57.0
0.3,Premium,E,VVS2,61.4,60.0
0.9,Very Good,H,SI1,62.3,58.0
0.26,Very Good,E,SI1,62.0,54.0
1.13,Very Good,J,VS2,62.0,59.0
0.51,Ideal,D,VS2,61.5,57.0
0.3,Ideal,H,VVS1,62.3,57.0
0.32,Ideal,G,IF,61.2,55.0
0.5,Good,F,VS2,63.2,56.0
0.7,Very Good,F,VVS2,62.5,58.0
0.42,Very Good,D,SI2,60.0,61.0
0.7,Good,G,SI2,64.1,56.0
0.25,Ideal,H,VS1,61.5,56.0
0.4,Very Good,E,SI1,59.8,61.0
0.53,Ideal,G,VVS1,61.4,57.0
0.57,Very Good,H,VVS1,59.6,58.0
1.01,Very Good,E,VS2,62.3,58.0
1.01,Very Good,D,VS2,63.3,58.0
0.31,Ideal,E,SI1,61.9,53.0
0.72,Ideal,G,VS2,62.8,56.0
0.41,Ideal,E,SI1,61.5,55.0
1.2,Premium,F,VS2,62.8,62.0
1.26,Ideal,G,VVS2,61.4,55.0
0.32,Very Good,G,VVS2,61.9,57.0
1.82,Very Good,F,SI1,63.2,56.0
0.35,Ideal,E,VVS1,62.2,56.0
2.0,Very Good,F,SI1,57.9,60.0
0.72,Ideal,J,VS1,62.7,57.0
0.32,Ideal,G,VVS2,61.6,56.0
1.07,Very Good,I,SI1,62.6,58.0
1.53,Very Good,G,VS2,58.9,59.0
0.31,Premium,E,VVS2,61.9,58.0
0.33,Very Good,G,VVS2,61.9,58.0
1.3,Premium,F,VS1,62.0,58.0
1.11,Ideal,H,SI1,60.2,54.0
0.3,Ideal,G,VS1,60.4,55.0
0.57,Premium,E,SI2,62.5,54.0
0.81,Very Good,G,VS1,62.6,55.0
0.79,Ideal,G,SI1,60.3,60.0
0.91,Good,D,SI2,63.8,58.0
0.3,Premium,D,SI2,61.8,58.0
0.52,Ideal,E,VS2,62.1,56.0
0.31,Premium,F,VS2,59.0,59.0
0.9,Fair,E,SI1,65.5,59.0
0.53,Ideal,D,SI1,62.2,56.0
0.34,Very Good,H,VS2,62.4,60.0
2.01,Fair,H,SI2,66.7,56.0
1.29,Premium,H,VS2,62.4,57.0
1.0,Good,I,VS1,64.0,53.0
0.35,Premium,I,VS2,61.2,58.0
1.23,Premium,H,VS2,60.6,59.0
1.31,Ideal,G,VS1,62.0,53.0
0.4,Very Good,E,VVS1,63.4,57.0
0.71,Very Good,D,VVS2,61.7,58.0
0.27,Ideal,F,VS2,60.3,56.0
1.14,Ideal,G,VS1,62.5,56.0
0.56,Premium,F,SI1,62.7,59.0
1.01,Ideal,H,SI1,60.2,56.0
1.15,Ideal,I,VS1,62.1,55.0
0.5,Ideal,D,SI2,62.3,54.0
0.71,Premium,G,VS2,59.8,56.0
0.57,Ideal,E,VS2,60.4,57.0
0.29,Very Good,F,IF,59.9,56.0
0.5,Fair,G,SI1,65.0,59.0
0.33,Ideal,D,VS2,62.3,57.0
0.63,Ideal,G,SI2,62.8,56.3
0.37,Very Good,H,SI1,62.6,63.0
0.5,Ideal,F,VVS2,62.2,54.0
1.34,Ideal,D,I1,61.7,55.0
2.42,Premium,I,VS1,59.8,59.0
1.22,Ideal,I,VS2,62.5,57.0
1.51,Fair,G,VS2,58.1,67.0
0.41,Very Good,E,SI1,63.3,57.0
0.41,Ideal,G,SI1,61.1,56.0
1.52,Premium,J,SI1,60.4,59.0
0.7,Very Good,E,SI1,63.0,55.0
1.5,Very Good,I,VS2,62.5,59.0
0.33,Ideal,G,VVS1,61.6,55.0
0.41,Premium,E,SI1,62.4,58.0
0.36,Ideal,G,SI1,61.1,55.0
0.33,Ideal,F,VVS1,61.7,54.0
1.52,Ideal,H,SI1,61.5,58.0
0.4,Very Good,D,VS2,62.3,58.0
1.3,Very Good,J,SI2,61.1,61.0
0.41,Ideal,H,SI1,61.7,56.0
0.31,Premium,D,IF,60.2,59.0
0.39,Premium,E,VS2,60.9,60.0
0.77,Premium,E,VS2,60.5,59.0
0.41,Very Good,D,SI1,63.4,55.0
0.58,Premium,E,SI1,61.6,59.0
1.21,Premium,I,VS2,62.3,58.0
0.61,Ideal,D,SI1,62.0,55.0
0.34,Fair,F,I1,55.8,62.0
0.9,Very Good,F,SI2,60.8,55.0
1.01,Very Good,D,VS2,61.9,59.0
0.3,Very Good,E,SI1,60.9,58.0
0.79,Good,H,SI2,59.2,58.0
1.01,Very Good,D,SI1,62.6,56.0
0.72,Ideal,G,VS2,61.4,55.0
1.27,Ideal,J,VS1,62.0,57.0
0.9,Premium,E,SI2,60.4,59.0
0.92,Ideal,F,VS2,61.2,56.0
0.74,Ideal,F,SI1,61.2,56.0
0.33,Ideal,H,VS2,61.2,55.0
0.42,Ideal,D,SI1,62.1,54.0
0.32,Ideal,G,VS1,61.2,56.0
0.37,Ideal,G,IF,62.1,54.0
0.36,Premium,E,VS1,61.3,58.0
0.9,Very Good,D,VS1,63.0,56.0
0.31,Ideal,G,VVS2,62.0,56.0
0.57,Ideal,F,VS1,61.3,56.0
0.4,Very Good,G,VVS2,60.6,59.0
0.51,Very Good,G,VVS2,62.6,59.0
0.37,Ideal,F,VS1,61.7,56.0
1.11,Ideal,F,SI2,61.7,55.0
0.41,Premium,E,SI1,61.0,59.0
0.3,Ideal,H,VS1,61.4,54.0
0.91,Very Good,D,SI1,63.2,59.0
0.23,Good,F,VS2,61.0,57.0
1.21,Good,J,SI2,61.1,60.8
0.9,Good,E,SI1,63.8,61.0
0.35,Premium,F,VS2,62.0,59.0
0.53,Ideal,H,VVS2,61.8,56.0
1.01,Very Good,D,SI1,61.6,59.0
0.38,Ideal,F,VVS1,62.1,55.0
0.33,Ideal,E,VVS2,60.9,56.0
1.51,Very Good,I,VS1,60.7,60.0
0.9,Premium,H,VS2,60.7,58.0
1.38,Very Good,H,SI2,62.3,60.0
0.78,Good,D,VS2,64.0,54.0
1.0,Very Good,G,SI1,63.3,60.0
1.06,Very Good,H,SI2,61.7,59.5
0.73,Premium,F,SI1,58.7,59.0
1.21,Very Good,H,SI2,62.1,60.0
0.7,Ideal,H,SI1,62.6,55.0
0.37,Ideal,G,VS2,62.5,53.0
0.41,Very Good,J,IF,60.8,56.0
0.41,Ideal,E,VS2,61.8,54.0
0.25,Ideal,G,VVS1,62.6,55.0
1.52,Premium,G,VS1,61.9,58.0
1.6,Ideal,F,VS1,60.5,57.0
1.02,Good,E,VS1,63.9,56.0
2.25,Fair,H,I1,67.7,58.0
0.71,Very Good,F,I1,63.2,55.0
1.01,Premium,F,SI2,62.8,57.0
1.57,Very Good,J,VS2,62.0,58.0
0.74,Ideal,F,VS1,62.0,57.0
2.0,Good,J,VS1,62.4,58.0
0.64,Ideal,D,SI1,62.1,57.0
0.33,Ideal,F,VS2,62.6,55.0
0.84,Ideal,G,SI2,62.0,56.0
0.84,Fair,G,SI1,55.1,67.0
0.9,Good,I,SI2,60.7,58.0
1.02,Ideal,F,VS2,62.7,56.0
1.09,Ideal,G,SI1,62.4,56.0
1.1,Premium,H,SI2,62.6,57.0
0.67,Good,F,VS2,58.7,61.5
1.0,Very Good,D,SI2,64.7,57.0
0.33,Very Good,H,SI1,63.0,58.0
1.03,Ideal,F,VS2,61.2,54.0
0.5,Very Good,D,SI1,58.9,61.0
0.9,Ideal,H,VS1,62.0,56.0
0.43,Good,E,SI1,63.4,56.0
0.23,Premium,E,VVS2,61.8,58.0
1.32,Premium,I,SI2,61.3,59.0
0.32,Premium,H,SI1,63.0,59.0
0.56,Ideal,G,IF,62.0,56.0
0.62,Fair,J,SI1,65.4,59.0
1.63,Ideal,I,VVS2,62.3,54.7
0.3,Premium,H,SI1,59.3,59.0
1.0,Premium,G,VVS2,59.5,61.0
1.23,Premium,F,VS1,61.3,60.0
0.7,Good,H,VS2,63.8,60.0
0.31,Premium,F,VS2,61.2,58.0
0.52,Very Good,E,SI1,58.8,59.0
1.21,Good,J,SI2,63.7,55.0
1.01,Very Good,G,VS1,63.1,57.0
1.0,Good,H,SI2,63.2,60.0
0.24,Very Good,J,VVS2,62.8,57.0
0.7,Good,F,SI2,62.2,59.0
0.37,Ideal,G,IF,62.4,56.0
1.19,Premium,I,SI2,61.6,56.0
1.0,Premium,F,SI1,62.1,59.0
0.37,Premium,J,VS2,60.7,60.0
1.02,Good,H,SI1,57.1,61.0
0.21,Premium,D,VS2,60.6,60.0
0.42,Good,F,SI1,63.6,57.0
1.5,Very Good,E,VS2,62.1,60.0
0.52,Good,G,VVS1,58.3,59.0
0.6,Very Good,G,VS1,61.6,56.0
0.91,Ideal,D,SI2,62.6,54.0
0.55,Ideal,E,SI1,61.4,55.0
0.43,Good,D,SI2,63.3,57.0
2.01,Very Good,I,VS2,62.4,58.0
1.02,Very Good,D,SI2,62.8,55.0
0.3,Ideal,E,VVS2,61.7,57.0
0.41,Ideal,H,IF,61.1,54.0
0.33,Ideal,H,VVS2,61.6,55.0
0.41,Ideal,E,VS1,61.7,57.0
1.0,Very Good,G,VS2,62.9,56.0
0.27,Ideal,E,VVS2,61.8,57.0
0.34,Premium,G,VVS2,61.7,56.0
0.58,Ideal,E,VS2,62.0,57.0
1.58,Very Good,D,SI1,62.7,60.0
1.64,Very Good,H,SI2,60.7,59.0
0.41,Ideal,E,VS1,61.9,55.0
0.72,Ideal,F,VS2,61.1,56.0
0.7,Premium,F,SI1,59.4,59.0
2.08,Premium,H,I1,61.7,57.0
0.41,Premium,G,VS1,61.9,58.0
1.72,Very Good,I,VS1,60.5,59.0
0.59,Ideal,G,VVS1,61.5,57.0
2.02,Premium,F,SI2,61.7,58.0
1.01,Good,G,VS2,63.6,60.0
0.32,Ideal,H,SI1,61.8,55.0
1.07,Premium,G,SI2,62.2,58.0
1.5,Very Good,H,VVS1,63.8,57.0
0.33,Premium,I,VS2,61.1,59.0
0.47,Ideal,E,VS1,61.5,55.0
0.55,Ideal,F,VS1,61.5,56.0
1.7,Premium,I,VS2,62.0,59.0
1.5,Premium,H,VS1,62.1,59.0
1.0,Fair,E,SI2,67.0,53.0
1.25,Premium,H,VS2,61.9,58.0
1.23,Very Good,H,VS2,60.2,63.0
1.19,Ideal,E,SI1,61.3,57.0
1.0,Fair,H,VVS2,65.1,57.0
0.31,Ideal,I,IF,62.0,54.0
0.25,Ideal,G,IF,61.1,57.0
1.72,Premium,H,VS2,61.9,56.0
0.29,Ideal,E,VS2,60.1,56.0
1.02,Ideal,D,SI2,62.5,57.0
0.31,Ideal,G,VVS2,62.4,54.0
0.65,Very Good,I,VVS1,62.9,58.0
1.2,Premium,F,VS1,61.8,59.0
0.47,Ideal,F,VVS1,61.9,55.0
0.3,Ideal,G,VVS2,61.8,54.0
0.36,Premium,E,VVS2,61.7,59.0
0.82,Very Good,F,SI2,62.9,59.0
0.77,Ideal,D,VVS2,62.3,57.0
0.33,Premium,H,VS1,62.4,60.0
1.62,Premium,F,SI2,61.6,60.0
2.41,Good,I,SI2,57.7,61.0
0.3,Ideal,F,SI1,62.8,56.0
0.9,Premium,D,VS2,63.0,62.0
0.33,Premium,H,VS1,60.0,61.0
0.73,Ideal,D,VS2,61.8,54.0
0.62,Premium,G,VS2,61.1,59.0
1.0,Very Good,E,VVS1,62.7,54.0
0.5,Premium,E,SI2,59.5,59.0
0.71,Good,I,VS1,61.5,64.0
0.32,Premium,G,VS1,61.2,62.0
0.41,Fair,H,SI1,65.4,61.0
1.23,Premium,D,SI1,62.5,58.0
2.09,Premium,H,SI2,61.4,60.0
1.0,Premium,F,SI2,60.2,58.0
1.52,Ideal,G,SI1,60.3,57.0
0.32,Ideal,G,SI1,62.6,55.0
0.9,Very Good,E,SI2,63.4,62.0
1.01,Very Good,F,SI2,62.5,58.0
0.52,Ideal,H,VVS1,61.0,56.0
1.15,Very Good,H,VS1,62.5,56.0
1.0,Premium,I,VS2,62.7,62.0
1.29,Premium,I,VS1,61.1,58.0
0.7,Premium,D,VS1,61.0,59.0
0.32,Ideal,D,VS2,61.0,56.0
0.72,Ideal,F,VS1,61.6,56.0
0.34,Ideal,D,VS1,61.3,56.0
0.71,Good,G,SI1,64.1,58.0
0.23,Very Good,E,VVS2,59.4,61.0
0.76,Very Good,F,SI1,62.7,57.0
0.32,Ideal,H,VS1,61.8,53.0
0.77,Very Good,F,SI2,61.1,59.0
1.52,Premium,F,SI2,60.7,61.0
1.37,Premium,H,VS2,62.5,59.0
0.7,Ideal,D,SI2,62.6,54.0
1.46,Premium,H,SI2,61.4,59.0
1.47,Premium,J,VS2,61.5,58.0
1.19,Ideal,H,I1,61.5,57.0
1.35,Fair,G,SI2,66.0,58.0
0.72,Very Good,I,VS1,64.0,56.0
0.52,Premium,G,SI2,59.2,60.0
0.35,Premium,H,VVS2,62.7,58.0
2.03,Premium,F,SI2,60.9,59.0
2.06,Ideal,I,SI2,61.4,57.0
0.91,Very Good,G,SI2,62.1,55.0
0.81,Ideal,F,SI1,61.2,57.0
0.55,Ideal,E,SI1,60.9,56.0
0.3,Ideal,H,VS2,60.7,57.0
0.91,Premium,H,VS2,61.8,60.0
0.9,Very Good,H,VS2,63.3,59.0
0.54,Very Good,F,VVS2,63.2,54.0
0.65,Very Good,I,IF,61.0,55.0
1.06,Very Good,E,VS1,63.0,58.0
0.7,Ideal,E,VS2,62.6,56.0
1.5,Premium,E,VS1,62.5,58.0
2.52,Fair,J,SI2,65.1,56.0
1.5,Premium,I,VS1,62.7,59.0
0.56,Ideal,G,VS2,62.1,56.0
0.3,Ideal,E,VS2,61.5,55.0
0.34,Ideal,H,VS1,62.5,57.0
0.59,Ideal,G,SI1,61.5,57.0
0.53,Ideal,F,VS1,60.4,57.0
0.51,Good,G,VS2,63.9,56.0
0.51,Ideal,D,VS2,61.9,55.0
0.75,Premium,J,VS1,61.6,57.0
1.21,Good,H,SI1,63.8,64.0
1.11,Very Good,J,SI1,62.0,58.0
0.7,Ideal,D,VS1,62.2,56.0
1.09,Ideal,G,SI2,62.1,56.0
0.54,Good,E,VS2,63.3,55.0
0.31,Premium,F,VS2,59.4,58.0
0.23,Very Good,D,VVS1,63.3,58.0
0.32,Premium,G,IF,59.9,58.0
0.7,Very Good,G,SI1,62.1,56.0
1.07,Premium,E,SI2,59.7,58.0
0.7,Fair,F,SI2,66.4,56.0
1.81,Fair,J,SI1,56.2,62.0
1.0,Good,F,SI2,61.8,58.0
0.33,Good,G,SI1,63.2,57.0
0.39,Ideal,I,VVS2,62.0,56.0
1.2,Good,I,VS1,59.6,61.0
1.69,Very Good,I,SI1,61.8,60.0
1.2,Premium,E,SI2,62.6,56.0
0.59,Ideal,I,SI1,61.7,55.0
0.93,Very Good,F,I1,61.3,59.0
0.47,Ideal,G,SI2,62.4,55.0
1.04,Good,F,SI1,63.1,57.0
0.3,Premium,G,VS1,61.8,60.0
1.33,Premium,H,SI2,61.0,59.0
1.0,Fair,I,SI1,56.4,61.0
0.31,Ideal,H,IF,61.3,56.0
0.3,Ideal,D,SI1,61.6,56.0
0.71,Very Good,I,VS2,60.4,60.0
1.3,Premium,J,SI1,61.0,59.0
0.32,Ideal,I,VVS1,61.7,55.0
2.47,Premium,J,SI2,59.4,59.0
1.07,Ideal,G,VS1,62.2,56.0
0.56,Premium,J,VS2,60.9,60.0
0.9,Good,G,SI1,63.7,58.0
0.79,Very Good,H,VS2,61.5,55.0
0.41,Ideal,E,SI2,61.9,57.0
0.55,Premium,D,SI1,61.0,58.0
0.33,Ideal,E,VVS2,61.0,57.0
1.11,Very Good,H,SI2,59.8,60.0
1.02,Premium,G,SI1,60.7,60.0
1.07,Premium,H,VS2,62.1,59.0
0.34,Premium,G,VVS1,61.5,59.0
0.91,Very Good,G,SI2,62.8,59.0
1.51,Premium,G,VS1,62.2,58.0
0.34,Ideal,E,SI1,61.4,55.0
0.77,Ideal,D,SI2,60.6,56.0
0.33,Very Good,G,IF,62.6,55.0
